sport_id,game_id,team_id,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%
MBA,6339196,596785,28,2,5,0,0,8,1,2,2,1,1,0,8,0,3,0,0,0,0,8.333,7,3,3,2,6,34,3,0,0,0,1,0,0,0,0,0,1,3,0,0,25,12,37,0,0,0,1,0,0,0,1.0
MBA,6339196,596832,31,3,7,3,0,10,0,3,2,0,1,0,6,0,0,0,1,0,3,9.001,5,2,2,2,8,32,0,0,0,1,0,1,0,0,0,0,1,0,0,0,27,7,34,0,0,1,0,3,0,0,0.0
MBA,6339197,596825,22,7,4,0,0,4,0,5,6,1,0,0,8,0,0,0,1,0,4,7.0,5,5,3,6,10,35,2,0,0,1,0,2,0,0,0,0,1,5,0,0,21,2,25,2,0,0,0,0,0,0,
MBA,6339197,596866,26,5,5,2,0,10,1,3,6,2,1,0,10,0,0,0,0,0,5,6.0,4,7,7,6,8,29,0,0,0,0,2,1,0,3,3,0,0,4,0,0,18,4,23,1,0,0,1,0,0,0,1.0
MBA,6339198,596739,45,16,20,3,1,25,0,14,7,1,0,0,7,0,2,1,0,0,4,9.0,8,3,3,1,6,35,3,0,0,0,0,0,0,1,0,0,2,1,0,0,27,9,37,1,0,0,0,0,5,0,
MBA,6339198,596792,32,3,8,3,0,11,0,3,1,0,2,0,6,2,0,0,0,0,1,8.998,20,16,12,7,7,53,3,1,0,0,3,1,0,7,4,0,0,4,0,1,26,13,41,2,0,0,0,2,0,0,0.0
MBA,6339200,596752,31,4,7,1,0,8,0,4,4,0,0,0,11,0,0,0,0,0,3,8.0,14,14,12,9,8,50,3,0,0,2,4,2,0,8,5,0,0,0,0,0,24,6,32,2,0,0,2,1,0,0,1.0
MBA,6339200,596776,39,14,14,3,0,23,2,12,9,2,0,0,8,0,1,0,2,0,0,8.0,7,4,4,4,11,35,1,0,0,0,0,0,0,3,0,0,0,3,0,0,24,3,27,0,0,0,0,0,0,0,
MBA,6339202,596907,37,4,9,0,0,18,3,4,2,1,0,0,8,0,0,0,1,0,1,9.0,12,7,7,5,9,43,1,0,0,3,2,2,1,6,1,1,1,2,0,1,26,7,33,0,0,0,1,2,0,0,0.0
MBA,6339202,596966,34,7,12,1,0,22,3,7,5,2,1,1,9,0,2,1,1,1,2,9.001,9,4,4,2,8,40,0,0,0,3,0,1,0,1,0,0,0,1,0,0,26,6,33,1,0,0,1,0,0,0,1.0
MBA,6339203,596731,26,7,7,1,0,14,2,7,5,1,0,1,5,1,0,0,0,0,3,6.997999999999999,21,17,17,7,7,47,3,0,0,8,0,0,0,1,0,0,0,3,0,0,21,8,29,0,0,0,0,0,6,0,
MBA,6339203,596766,40,17,21,3,0,48,8,17,7,0,0,0,7,2,0,0,0,0,3,7.0,7,7,7,5,5,33,1,0,0,2,0,1,0,3,1,1,0,3,0,0,21,9,30,0,0,0,0,0,3,0,
MBA,6339204,596768,27,3,4,0,0,4,0,2,8,1,0,0,12,1,0,0,4,0,0,9.0,8,2,2,3,6,37,1,0,0,1,1,1,0,1,0,0,0,0,0,0,27,7,34,0,0,0,0,1,3,0,0.0
MBA,6339204,596911,33,2,8,1,0,12,1,1,3,1,0,0,6,1,1,0,0,0,0,8.0,4,3,3,8,12,36,0,0,0,0,2,1,0,2,0,0,0,0,0,0,24,5,29,0,0,0,4,0,3,0,1.0
MBA,6339207,596769,33,4,8,1,0,12,1,4,6,3,1,1,5,0,0,0,0,0,2,7.999,9,10,8,7,8,44,1,0,0,0,1,5,0,0,0,1,0,0,0,0,24,12,38,2,0,1,3,1,3,0,1.0
MBA,6339207,596828,31,10,9,1,0,10,0,9,7,5,0,1,8,1,1,0,3,0,0,9.001,8,4,4,6,5,44,1,0,0,1,3,3,0,0,0,1,1,2,0,0,26,4,30,0,0,0,0,0,0,0,
MBA,6339208,596741,37,10,9,1,0,19,3,10,1,3,1,0,12,0,0,0,3,0,5,9.0,8,3,3,1,5,36,0,0,0,0,1,0,0,2,0,0,0,2,0,0,27,13,41,1,0,0,0,0,2,0,
MBA,6339208,596842,35,3,8,0,0,8,0,3,1,0,0,0,5,1,0,0,0,0,2,9.0,9,10,8,1,12,42,1,0,0,3,1,3,0,0,0,0,1,5,0,0,27,5,34,2,0,0,3,0,0,0,1.0
MBA,6339209,596754,27,0,7,0,0,7,0,0,4,1,0,0,5,1,1,1,0,0,1,7.668,9,10,9,7,3,40,2,2,0,0,0,0,0,0,0,0,2,0,0,0,23,4,28,1,0,0,0,0,0,0,
MBA,6339209,596782,31,10,9,2,2,15,0,10,7,0,2,0,3,0,0,0,0,0,0,8.0,7,0,0,4,5,32,0,0,0,0,0,1,0,0,0,0,0,1,0,1,24,12,36,0,0,0,0,1,3,0,0.0
MBA,6339211,596746,28,4,7,1,0,8,0,2,5,0,0,0,8,2,0,0,2,0,5,9.0,4,0,0,0,6,31,0,0,0,0,0,1,0,0,0,0,0,1,0,1,26,9,35,0,0,0,0,1,0,0,0.0
MBA,6339211,596948,30,0,4,0,0,4,0,0,0,1,0,0,6,0,1,1,0,0,1,8.0,7,4,1,5,8,33,1,0,0,0,2,0,0,0,0,0,0,5,0,0,24,13,39,2,0,0,2,0,4,0,1.0
MBA,6339212,596870,36,9,8,2,0,10,0,7,7,2,0,0,8,1,0,0,1,1,3,9.0,10,2,2,2,6,40,3,0,0,0,0,1,1,0,0,1,0,3,0,0,26,5,31,0,0,0,0,0,0,0,
MBA,6339212,596973,36,2,10,3,0,13,0,2,2,1,0,1,6,0,0,0,0,1,3,9.0,8,9,4,7,8,45,2,0,3,0,3,2,1,0,0,0,0,3,0,0,26,12,40,2,0,0,1,0,3,0,1.0
MBA,6339213,596826,31,3,8,1,0,9,0,3,5,1,1,1,10,2,0,1,3,2,3,10.0,10,2,2,3,8,40,2,0,0,1,0,0,0,2,0,1,0,1,0,0,30,12,42,0,0,0,3,1,0,0,1.0
MBA,6339213,596868,36,2,10,2,0,15,1,2,3,0,0,1,8,0,1,0,3,0,1,9.333,8,3,3,5,10,39,1,0,0,0,0,1,2,1,1,1,1,3,0,1,28,5,33,0,0,0,3,0,5,0,1.0
MBA,6339214,596771,35,8,10,1,0,11,0,5,2,0,1,1,8,2,1,0,0,0,2,9.0,8,3,3,0,2,35,5,0,0,0,0,1,0,0,0,0,1,0,0,0,27,10,38,1,0,0,1,0,1,0,1.0
MBA,6339214,596876,33,3,8,5,0,13,0,3,0,1,1,0,2,1,0,0,1,0,0,8.0,10,8,2,2,8,39,1,0,0,0,2,0,0,2,2,1,1,2,0,0,24,7,37,6,0,0,0,1,4,0,0.0
MBA,6339215,596730,36,9,10,0,1,12,0,5,8,5,0,0,11,1,0,0,0,0,4,9.0,14,11,7,3,5,45,0,1,0,0,0,3,0,2,2,1,0,1,0,1,25,11,38,2,0,0,9,0,0,0,1.0
MBA,6339215,596777,38,11,14,0,1,16,0,10,3,3,0,1,5,0,0,1,9,0,1,9.0,10,9,8,8,11,49,0,1,0,0,3,5,0,6,4,0,0,4,0,0,27,6,35,2,0,0,0,0,3,0,
MBA,6339216,596743,29,7,8,3,0,14,1,5,4,1,1,2,11,0,0,0,1,0,3,9.0,6,1,1,3,10,34,1,0,0,1,1,2,0,0,0,0,0,4,0,0,27,12,39,0,0,0,0,0,12,0,
MBA,6339216,596841,29,1,6,1,0,10,1,1,3,2,0,0,10,4,0,0,0,0,4,7.997,8,7,4,4,11,37,3,0,0,1,1,1,0,3,0,2,1,3,0,0,23,7,32,2,0,0,1,0,0,0,1.0
MBA,6339217,596742,31,2,4,0,0,7,1,2,4,0,1,0,12,0,0,0,0,0,4,9.0,11,4,4,3,4,42,1,0,0,1,0,0,0,2,0,0,0,0,0,0,27,14,42,1,0,0,0,0,0,0,
MBA,6339217,596814,39,4,11,1,0,15,1,4,3,0,0,0,4,0,0,0,0,0,0,9.0,4,2,1,4,12,36,0,0,0,1,0,0,0,0,0,0,1,4,0,0,27,8,37,2,0,0,0,0,0,0,
MBA,6339218,596747,31,1,6,0,0,6,0,1,8,0,0,0,13,0,1,1,0,0,6,8.0,10,9,6,5,6,41,3,0,0,1,1,1,0,1,1,0,2,2,0,0,23,7,32,2,0,0,2,0,2,0,1.0
MBA,6339218,596839,33,9,10,3,0,16,1,8,5,1,2,0,6,1,0,0,2,0,2,9.0,6,1,1,8,13,39,0,0,0,0,1,0,0,0,0,0,0,6,0,1,27,5,32,0,0,1,0,1,0,0,0.0
MBA,6339219,596737,30,4,8,1,0,15,2,4,2,1,0,1,9,0,1,0,0,0,5,9.002,6,2,2,4,6,37,2,0,0,0,0,3,0,0,0,0,1,2,0,0,27,14,41,0,0,1,0,2,3,0,0.0
MBA,6339219,596781,29,2,6,2,0,8,0,2,4,3,1,0,6,1,2,0,0,0,2,8.0,8,4,4,2,9,34,1,0,0,2,1,1,0,0,0,1,0,5,0,0,23,7,30,0,0,0,0,1,0,0,0.0
MBA,6339222,596805,35,13,20,4,0,27,1,13,6,3,3,0,3,0,0,0,4,0,0,8.0,2,3,3,12,15,38,0,0,0,1,4,0,0,0,0,0,0,4,0,0,24,6,31,1,0,0,0,0,3,0,
MBA,6339222,596828,26,3,2,0,0,5,1,1,12,0,0,0,15,1,0,0,0,0,4,8.0,20,13,13,6,3,47,4,0,0,1,2,3,0,0,0,0,3,0,0,0,24,11,36,1,0,0,4,0,3,0,1.0
MBA,6339223,596811,27,12,11,3,2,21,1,12,7,5,1,1,3,1,0,0,0,0,0,8.998999999999999,10,5,2,3,10,43,0,0,0,0,2,4,0,0,0,0,0,0,0,0,27,9,37,1,0,0,0,0,7,0,
MBA,6339223,596956,32,4,10,1,0,11,0,2,3,2,1,0,8,2,0,0,0,0,0,8.0,11,12,3,7,7,46,0,0,0,1,0,6,0,0,0,0,0,0,0,0,22,2,24,0,0,0,0,0,2,0,
MBA,6339225,596738,39,12,13,2,0,21,2,11,6,1,0,0,10,1,2,0,2,0,5,9.0,10,8,4,3,10,43,1,1,0,1,2,2,0,0,0,0,0,0,0,0,26,4,31,1,0,1,0,0,0,0,
MBA,6339225,596794,38,8,10,1,1,16,1,8,3,2,0,0,10,0,0,0,0,0,0,9.001000000000001,13,12,11,6,10,46,2,0,0,2,0,1,0,0,0,0,0,5,0,0,27,6,34,1,0,1,2,2,2,0,0.0
MBA,6339226,596928,33,8,10,3,0,19,2,8,3,2,0,0,3,2,0,0,0,0,2,9.0,12,3,3,0,7,38,0,0,0,0,0,1,0,0,0,0,0,1,0,0,27,7,34,0,0,0,1,1,2,0,0.0
MBA,6339226,596943,37,3,12,0,0,12,0,3,0,1,0,0,7,1,1,0,1,0,1,8.0,10,8,8,3,3,38,3,0,0,2,0,2,0,3,0,0,0,2,0,0,23,10,34,1,0,0,0,0,6,0,
MBA,6339227,596919,31,6,10,2,0,15,1,6,5,3,1,0,10,0,0,0,3,0,3,6.0,22,25,17,7,3,56,6,0,0,6,3,8,0,7,5,0,0,1,0,0,18,3,22,1,0,0,5,0,0,0,1.0
MBA,6339227,596927,41,25,22,6,0,46,6,20,7,8,0,0,3,0,0,0,5,0,1,7.0,10,6,5,5,10,40,2,0,0,1,0,3,0,0,0,0,1,3,0,0,20,2,23,1,0,0,3,0,0,0,1.0
MBA,6339228,596923,30,6,8,2,1,12,0,4,7,1,0,1,7,0,1,0,4,0,1,9.0,7,5,4,4,9,38,1,0,0,1,0,0,0,0,0,0,1,4,0,0,27,7,35,1,0,0,6,0,0,0,1.0
MBA,6339228,596952,33,5,7,1,0,11,1,4,4,0,1,0,9,0,0,0,6,0,4,8.0,8,6,4,7,7,39,2,1,0,0,0,1,0,2,0,1,0,1,0,0,24,11,38,3,0,0,4,1,0,0,1.0
MBA,6339230,596735,30,1,2,0,0,2,0,1,4,0,0,0,10,0,0,0,1,0,1,8.0,15,9,5,3,9,45,2,0,0,0,1,0,0,0,0,0,0,1,0,0,23,8,35,4,0,1,1,0,0,0,1.0
MBA,6339230,596804,42,9,15,2,0,17,0,7,3,0,0,0,9,0,0,0,1,0,1,9.0,2,1,1,4,10,34,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27,2,30,1,0,0,1,0,0,0,1.0
MBA,6339231,596810,20,0,2,0,0,2,0,0,2,2,0,1,8,2,0,0,0,0,1,6.668,11,10,8,3,5,37,2,1,0,0,2,3,0,0,0,2,0,0,0,0,20,6,27,1,0,0,6,1,0,0,1.0
MBA,6339231,596854,29,10,11,2,1,15,0,9,3,3,0,2,5,0,1,0,6,0,0,7.0,2,0,0,2,8,25,0,0,0,0,0,2,0,0,0,1,0,1,0,0,21,10,31,0,0,0,0,0,6,0,
MBA,6339232,596831,38,6,9,0,1,11,0,4,4,1,0,0,6,1,1,0,0,0,3,10.001,9,7,7,11,9,50,2,0,0,1,5,3,1,4,0,1,1,1,0,0,29,12,42,1,0,0,3,1,3,0,1.0
MBA,6339232,596846,34,7,9,2,0,14,1,7,11,3,1,1,9,1,2,0,3,1,1,10.0,9,6,4,4,6,43,0,1,0,0,0,1,0,0,0,0,0,3,0,0,30,15,46,1,0,0,0,1,3,0,0.0
MBA,6339233,596883,36,7,10,3,0,16,1,6,7,4,0,0,5,0,1,0,4,0,0,9.0,8,3,2,0,3,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,42,1,0,0,0,0,6,0,
MBA,6339233,596940,33,3,8,3,0,11,0,2,0,0,0,0,3,2,0,0,0,0,0,9.001000000000001,10,7,6,7,5,47,3,0,0,1,2,4,0,6,3,0,0,0,0,0,27,11,40,2,0,0,4,0,0,0,1.0
MBA,6339234,596857,30,1,5,1,0,6,0,1,3,0,0,0,10,3,0,0,3,0,3,8.001,12,6,4,2,3,33,3,0,1,0,0,0,0,0,0,0,0,0,0,1,24,15,40,1,0,0,3,1,3,0,1.0
MBA,6339234,596932,31,6,12,3,0,15,0,5,2,0,0,0,3,1,1,1,3,0,0,9.0,5,1,0,3,10,33,1,0,0,0,0,0,0,0,0,0,0,3,0,0,27,12,40,1,0,1,3,0,9,0,1.0
MBA,6339235,596754,38,9,11,2,1,15,0,9,4,4,0,1,10,1,0,0,3,1,3,8.667,10,10,10,10,8,48,4,1,0,0,7,3,1,4,0,2,1,4,0,0,25,7,32,0,0,0,1,0,0,0,1.0
MBA,6339235,596763,32,10,10,4,1,16,0,10,10,3,1,2,8,0,1,1,1,1,4,8.999,11,9,6,4,10,47,2,1,1,0,0,4,1,1,1,1,0,3,0,0,26,6,35,3,0,1,3,0,1,0,1.0
MBA,6339236,596726,33,5,8,1,0,9,0,2,3,3,0,0,5,1,0,0,3,0,1,9.0,7,2,2,2,7,38,1,0,0,0,0,2,0,0,0,1,0,3,0,0,27,5,33,1,0,0,0,0,0,0,
MBA,6339236,596790,33,2,7,1,0,8,0,2,2,2,0,1,7,0,0,0,0,0,3,8.0,8,5,4,3,5,39,1,0,0,0,2,3,0,0,0,0,0,1,0,0,24,11,38,3,0,0,3,0,3,0,1.0
MBA,6339238,596760,36,11,10,1,1,16,1,10,6,3,0,1,8,1,0,0,1,0,2,8.997,12,7,7,6,5,43,1,0,0,0,3,1,0,0,0,0,0,3,0,0,26,8,34,0,0,0,3,2,0,0,1.0
MBA,6339238,596963,36,7,12,1,0,13,0,6,6,1,0,0,5,0,2,0,3,0,3,9.001000000000001,10,11,10,6,8,46,1,1,1,1,0,3,0,0,0,1,0,2,0,0,27,7,35,1,0,0,1,0,3,0,1.0
MBA,6339239,596732,35,6,9,5,0,17,1,6,5,4,1,0,7,0,0,0,0,0,2,9.0,11,10,4,5,8,47,2,0,0,0,1,2,0,0,0,1,1,2,0,0,25,8,34,1,0,0,0,0,0,0,
MBA,6339239,596967,38,10,11,2,0,13,0,8,5,2,1,1,8,0,0,0,0,0,2,8.998999999999999,9,6,6,5,7,45,5,0,0,1,1,4,0,0,0,0,1,2,0,0,27,8,35,0,0,0,0,0,0,0,
MBA,6339240,596913,34,12,9,1,0,13,1,10,8,2,1,1,10,0,1,0,1,0,2,9.0,9,9,9,11,9,48,3,0,0,0,2,2,0,5,3,1,0,1,0,0,26,10,37,1,0,0,0,0,6,0,
MBA,6339240,596959,34,9,9,3,0,12,0,7,11,2,0,1,9,2,0,0,0,0,1,9.001,9,12,10,8,10,46,1,0,0,1,4,2,0,7,4,1,1,2,0,0,27,5,33,1,0,0,1,1,0,0,0.0
MBA,6339241,596734,32,4,10,3,2,17,0,4,1,2,1,0,6,2,0,2,1,0,3,9.0,14,6,3,0,5,43,4,0,0,0,2,1,0,0,0,1,0,2,0,0,27,6,36,3,0,0,0,0,2,0,
MBA,6339241,596829,41,6,14,4,0,18,0,6,0,1,0,1,5,2,0,0,0,0,2,9.0,10,4,4,1,6,36,3,2,0,0,2,2,0,0,0,0,1,3,0,2,27,7,34,0,0,0,1,0,5,0,1.0
MBA,6339242,596736,31,3,4,2,0,6,0,3,1,2,0,0,9,0,0,0,0,0,1,7.999,20,18,18,6,5,49,4,0,0,2,4,1,0,6,4,0,2,2,0,0,24,5,30,1,0,0,2,1,0,0,1.0
MBA,6339242,596784,40,18,20,4,0,30,2,17,6,1,2,0,5,0,1,0,2,0,2,9.001,4,3,3,1,9,34,2,0,0,0,0,2,0,0,0,0,0,1,0,0,26,4,30,0,0,0,0,0,0,0,
MBA,6339243,596722,25,3,4,1,0,5,0,3,2,2,0,0,13,0,0,0,0,0,2,7.0,27,29,22,11,8,65,6,2,0,1,2,3,0,0,0,0,3,3,0,0,21,3,28,4,0,0,2,0,0,0,1.0
MBA,6339243,596779,48,29,27,6,2,40,1,26,11,3,3,0,8,0,0,0,2,0,3,7.0,4,3,3,2,13,29,1,0,0,0,0,2,0,0,0,0,0,2,0,0,21,3,24,0,0,0,0,0,0,0,
MBA,6339244,596812,38,10,13,4,0,17,0,10,2,3,1,0,10,0,0,0,2,0,3,9.0,6,1,1,2,7,33,1,0,0,0,0,0,0,1,0,0,0,1,0,0,27,11,38,0,0,0,0,0,3,0,
MBA,6339244,596851,31,1,6,1,0,7,0,1,2,0,0,0,7,1,0,0,0,0,1,7.999,13,10,6,2,10,44,4,0,0,0,0,3,0,2,1,0,1,3,0,0,23,5,30,2,0,0,2,0,0,0,1.0
MBA,6339245,596836,27,3,2,0,0,5,1,2,6,1,0,3,11,1,0,0,4,0,1,9.0,7,4,1,2,5,40,1,0,0,0,0,4,0,0,0,0,1,2,0,0,26,8,35,1,0,0,0,0,3,0,
MBA,6339245,596885,33,4,7,1,0,8,0,4,2,4,1,0,5,1,0,0,0,0,2,9.001,2,3,2,6,11,37,0,0,1,1,1,1,0,3,1,3,0,1,0,0,27,11,41,3,0,0,4,0,3,0,1.0
MBA,6339246,596824,38,4,11,4,0,21,2,4,2,1,0,0,12,0,0,1,0,0,4,8.998999999999999,9,12,12,7,12,43,4,0,0,1,1,2,0,4,4,0,0,3,0,0,27,12,39,0,0,0,0,1,3,0,0.0
MBA,6339246,596867,34,12,9,4,0,16,1,11,7,2,0,0,12,1,1,0,0,0,3,8.999,11,4,4,2,12,41,4,0,1,2,1,1,0,2,0,0,0,4,0,1,27,7,36,2,0,1,0,0,0,0,
MBA,6339247,596723,34,5,8,0,1,10,0,5,3,1,0,0,8,1,0,1,4,0,3,9.003,11,4,2,0,11,38,1,0,0,1,2,0,0,2,1,0,0,3,0,0,27,8,37,2,0,0,1,1,3,0,0.0
MBA,6339247,596865,38,4,11,1,0,15,1,4,0,0,0,0,11,1,1,0,1,0,3,9.0,8,5,4,3,8,38,0,1,0,0,1,1,0,1,1,0,0,3,0,1,27,12,41,2,0,2,4,0,3,0,1.0
MBA,6339248,596877,32,7,8,2,0,10,0,7,5,1,0,0,8,2,0,0,2,0,5,9.0,3,0,0,4,11,34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27,4,32,1,0,0,0,0,0,0,
MBA,6339248,596900,30,0,3,0,0,3,0,0,4,0,0,0,11,0,0,0,0,0,3,9.001000000000001,8,7,7,5,8,38,2,0,0,0,0,1,0,2,2,0,0,5,0,0,26,7,33,0,0,0,2,0,3,0,1.0
MBA,6339249,596757,31,3,7,1,0,8,0,3,2,2,1,0,17,0,1,0,2,0,3,8.0,6,4,2,8,7,40,3,0,0,0,0,3,0,3,0,0,0,2,0,0,23,4,28,1,0,0,0,0,3,0,
MBA,6339249,596806,29,4,6,3,0,9,0,3,8,3,0,0,7,2,0,0,0,0,2,9.0,7,3,3,2,17,36,1,0,0,0,0,2,0,0,0,0,1,3,0,0,27,5,32,0,0,0,2,1,0,0,1.0
MBA,6339250,596759,38,8,9,2,0,14,1,7,8,0,1,0,13,1,0,0,6,0,6,8.001000000000001,10,9,9,7,10,40,3,0,0,2,2,1,0,1,0,0,1,3,0,1,22,8,30,0,0,0,6,0,0,0,1.0
MBA,6339250,596859,31,9,10,3,0,19,2,8,7,1,1,0,10,0,0,1,6,0,3,9.001000000000001,9,8,4,8,13,47,2,0,0,1,1,0,0,5,0,0,1,6,0,0,27,8,38,3,0,1,6,0,3,0,1.0
MBA,6339251,596787,29,0,5,1,0,6,0,0,1,2,0,0,7,2,1,0,0,0,0,8.0,12,7,7,1,7,38,2,1,0,0,0,1,0,0,0,0,2,4,0,0,24,7,31,0,0,0,0,0,0,0,
MBA,6339251,596886,34,7,12,2,1,16,0,7,1,1,2,0,7,0,0,0,0,0,4,9.0,5,0,0,1,7,32,1,0,0,0,0,2,0,0,0,0,0,0,0,0,27,9,36,0,0,0,0,1,5,0,0.0
MBA,6339252,596797,32,7,6,1,0,10,1,7,6,1,0,2,10,0,0,1,0,0,1,10.0,10,6,5,1,7,41,1,1,0,1,0,1,0,0,0,1,1,2,0,0,30,10,41,1,0,0,1,0,6,0,1.0
MBA,6339252,596958,37,6,10,1,1,16,1,5,1,1,1,1,7,2,0,0,1,0,2,9.667,6,7,7,6,10,41,1,0,0,1,2,1,0,0,0,2,0,1,0,1,29,7,36,0,0,0,0,0,0,0,
MBA,6339253,596748,29,3,5,1,0,6,0,2,3,3,0,1,8,0,1,0,0,0,2,9.0,4,1,1,3,10,36,1,0,0,0,0,2,0,1,0,0,0,4,0,0,27,7,35,1,0,0,2,0,3,0,1.0
MBA,6339253,596970,31,1,4,1,0,5,0,1,3,2,0,0,10,1,0,0,2,0,4,8.0,5,3,2,3,8,36,1,0,0,0,1,3,0,0,0,1,0,2,0,0,23,7,32,2,0,0,0,1,0,0,0.0
MBA,6339254,596727,35,4,8,1,0,12,1,2,6,0,0,0,14,0,0,1,1,0,5,8.333,9,5,3,5,7,39,1,1,0,0,0,0,0,0,0,0,0,5,0,0,25,11,37,1,0,0,2,0,0,0,1.0
MBA,6339254,596939,34,5,9,1,1,12,0,4,5,0,0,0,7,0,0,0,2,0,5,9.0,8,4,2,6,14,41,1,0,0,1,0,0,0,0,0,0,0,5,0,1,27,7,36,2,0,0,1,0,0,0,1.0
MBA,6339255,596965,40,14,15,4,0,25,2,14,5,5,1,1,5,0,0,0,4,0,2,9.0,5,1,1,3,3,37,3,0,0,0,2,3,0,0,0,1,0,0,0,0,26,7,33,0,0,0,0,0,3,0,
